target,TVTSyn,Ours,target_diff
/data/mtseng/voice_datasets/voxceleb2/data/id07354/wav/Ay1cBC5TXUc_00090.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id07354/H005916__5694_64038_000015_000012.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id07354/H005916__5694_64038_000015_000012.wav,
/data/mtseng/voice_datasets/voxceleb2/data/id06104/wav/OvdwSKAEHH0_00144.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id06104/H005301__3331_159605_000019_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id06104/H005301__3331_159605_000019_000001.wav,
/data/mtseng/voice_datasets/voxceleb2/data/id05999/wav/hOpUvJt8nvM_00238.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id05999/H005299__4323_13259_000011_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id05999/H005299__4323_13259_000011_000000.wav,
/data/mtseng/voice_datasets/voxceleb2/data/id01041/wav/HoiLttDqPWo_00163.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id01041/H000766__3752_4943_000013_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id01041/H000766__3752_4943_000013_000000.wav,
/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_a0366.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/BDL/H007728__3005_163399_000039_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/BDL/H007728__3005_163399_000039_000000.wav,
/data/mtseng/voice_datasets/ARCTIC/data/RMS/wav/arctic_a0050.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/RMS/H007824__237_134493_000023_000002.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/RMS/H007824__237_134493_000023_000002.wav,
/data/mtseng/voice_datasets/ARCTIC/data/CLB/wav/arctic_a0465.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/CLB/H008071__7902_96592_000079_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/CLB/H008071__7902_96592_000079_000000.wav,
/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_a0192.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/BDL/H007745__7729_102255_000011_000004.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/BDL/H007745__7729_102255_000011_000004.wav,
/data/mtseng/voice_datasets/EMIME/data/FM1/wav/FM1_ENG_0116_0.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/FM1/H010245__5142_36600_000010_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/FM1/H010245__5142_36600_000010_000001.wav,
/data/mtseng/voice_datasets/EMIME/data/FM6/wav/FM6_ENG_0078_1.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/FM6/H010725__8288_274162_000014_000003.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/FM6/H010725__8288_274162_000014_000003.wav,
/data/mtseng/voice_datasets/EMIME/data/EF4/wav/EF4_ENG_0125_0.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/EF4/H008441__3005_163391_000041_000003.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/EF4/H008441__3005_163391_000041_000003.wav,
/data/mtseng/voice_datasets/EMIME/data/MM4/wav/MM4_ENG_0029_1.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/MM4/H013309__1919_142785_000005_000003.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/MM4/H013309__1919_142785_000005_000003.wav,
/data/mtseng/voice_datasets/L2ARCTIC/data/TXHC/wav/arctic_a0401.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/TXHC/H014483__7902_96591_000018_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/TXHC/H014483__7902_96591_000018_000000.wav,
/data/mtseng/voice_datasets/L2ARCTIC/data/ABA/wav/arctic_a0386.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/ABA/H013734__1580_141083_000036_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/ABA/H013734__1580_141083_000036_000000.wav,
/data/mtseng/voice_datasets/L2ARCTIC/data/ERMS/wav/arctic_a0539.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/ERMS/H015412__4852_28330_000033_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/ERMS/H015412__4852_28330_000033_000000.wav,
/data/mtseng/voice_datasets/L2ARCTIC/data/THV/wav/arctic_b0473.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/THV/H015904__5338_284437_000018_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/THV/H015904__5338_284437_000018_000000.wav,
/data/mtseng/voice_datasets/VCTK/data/p271/wav/p271_346.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p271/H020535__1998_29454_000008_000003.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p271/H020535__1998_29454_000008_000003.wav,
/data/mtseng/voice_datasets/VCTK/data/p316/wav/p316_233.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p316/H024426__8188_274364_000035_000004.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p316/H024426__8188_274364_000035_000004.wav,
/data/mtseng/voice_datasets/VCTK/data/p304/wav/p304_152.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p304/H023417__1255_138279_000010_000001.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p304/H023417__1255_138279_000010_000001.wav,
/data/mtseng/voice_datasets/VCTK/data/p259/wav/p259_141.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p259/H019304__8280_266249_000026_000000.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p259/H019304__8280_266249_000026_000000.wav,
/data/mtseng/voice_datasets/voxceleb2/data/id07961/wav/HHtJ97YaLS4_00123.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id07961/H006950__6345_93302_000039_000000.wav,,/data/mtseng/voice_datasets/voxceleb2/data/id07961/wav/Tei4nmx5B4g_00213.wav
/data/mtseng/voice_datasets/voxceleb2/data/id01041/wav/HNSZ2j6_YVs_00157.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id01041/H000729__7127_75946_000014_000000.wav,,/data/mtseng/voice_datasets/voxceleb2/data/id01041/wav/LqmcJ_UxHXk_00242.wav
/data/mtseng/voice_datasets/voxceleb2/data/id01041/wav/HoiLttDqPWo_00163.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id01041/H000766__3752_4943_000013_000000.wav,,/data/mtseng/voice_datasets/voxceleb2/data/id01041/wav/VaMsbVehonw_00321.wav
/data/mtseng/voice_datasets/voxceleb2/data/id04478/wav/GZQGZOmFU5U_00069.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/id04478/H004005__251_118436_000016_000001.wav,,/data/mtseng/voice_datasets/voxceleb2/data/id04478/wav/Rk34ptLauAE_00106.wav
/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_b0392.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/SLT/H007942__4323_55228_000075_000006.wav,,/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_b0118.wav
/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_a0025.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/SLT/H007968__6432_63722_000020_000000.wav,,/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_a0587.wav
/data/mtseng/voice_datasets/ARCTIC/data/CLB/wav/arctic_a0456.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/CLB/H008002__3005_163391_000038_000004.wav,,/data/mtseng/voice_datasets/ARCTIC/data/CLB/wav/arctic_a0001.wav
/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_b0348.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/BDL/H007712__2277_149896_000013_000000.wav,,/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_a0512.wav
/data/mtseng/voice_datasets/EMIME/data/MM3/wav/MM3_ENG_0020_1.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/MM3/H013219__367_293981_000004_000000.wav,,/data/mtseng/voice_datasets/EMIME/data/MM3/wav/MM3_ENG_0053_0.wav
/data/mtseng/voice_datasets/EMIME/data/GM1/wav/GM1_ENG_0097_0.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/GM1/H011646__6319_275224_000013_000001.wav,,/data/mtseng/voice_datasets/EMIME/data/GM1/wav/GM1_ENG_0014_1.wav
/data/mtseng/voice_datasets/EMIME/data/MM7/wav/MM7_ENG_0027_0.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/MM7/H013645__3005_163391_000026_000000.wav,,/data/mtseng/voice_datasets/EMIME/data/MM7/wav/MM7_ENG_0078_1.wav
/data/mtseng/voice_datasets/EMIME/data/EF7/wav/EF7_ENG_0119_0.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/EF7/H008791__8297_275154_000022_000001.wav,,/data/mtseng/voice_datasets/EMIME/data/EF7/wav/EF7_ENG_0066_1.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/TXHC/wav/arctic_a0581.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/TXHC/H014487__4831_18525_000090_000000.wav,,/data/mtseng/voice_datasets/L2ARCTIC/data/TXHC/wav/arctic_a0160.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/PNV/wav/arctic_a0084.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/PNV/H015820__5338_284437_000041_000000.wav,,/data/mtseng/voice_datasets/L2ARCTIC/data/PNV/wav/arctic_b0455.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/TXHC/wav/arctic_a0263.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/TXHC/H014422__8131_117016_000005_000000.wav,,/data/mtseng/voice_datasets/L2ARCTIC/data/TXHC/wav/arctic_b0096.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/PNV/wav/arctic_b0049.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/PNV/H015841__1462_170142_000002_000009.wav,,/data/mtseng/voice_datasets/L2ARCTIC/data/PNV/wav/arctic_b0267.wav
/data/mtseng/voice_datasets/VCTK/data/p255/wav/p255_328.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p255/H018925__7601_291468_000004_000006.wav,,/data/mtseng/voice_datasets/VCTK/data/p255/wav/p255_194.wav
/data/mtseng/voice_datasets/VCTK/data/p287/wav/p287_108.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p287/H022172__1255_90407_000039_000001.wav,,/data/mtseng/voice_datasets/VCTK/data/p287/wav/p287_064.wav
/data/mtseng/voice_datasets/VCTK/data/p302/wav/p302_293.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p302/H023202__8280_266249_000007_000000.wav,,/data/mtseng/voice_datasets/VCTK/data/p302/wav/p302_128.wav
/data/mtseng/voice_datasets/VCTK/data/p239/wav/p239_370.wav,/data/mtseng/code/interspeech26/evaluation/results/phase4/TVTSyn_wav/wav/p239/H017407__8254_84205_000050_000000.wav,,/data/mtseng/voice_datasets/VCTK/data/p239/wav/p239_149.wav
/data/mtseng/voice_datasets/voxceleb2/data/id04656/wav/4MhYXxGH8aU_00027.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id04656/H004312__1580_141083_000074_000000.wav,/data/mtseng/voice_datasets/voxceleb2/data/id04656/wav/m3ruBhDHedU_00379.wav
/data/mtseng/voice_datasets/voxceleb2/data/id05999/wav/GX4a7FR8QNY_00059.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id05999/H005242__3915_98647_000017_000001.wav,/data/mtseng/voice_datasets/voxceleb2/data/id05999/wav/Lri_u9ukuEw_00122.wav
/data/mtseng/voice_datasets/voxceleb2/data/id06310/wav/N_524p1QzXQ_00102.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id06310/H005403__4970_29095_000008_000001.wav,/data/mtseng/voice_datasets/voxceleb2/data/id06310/wav/lHUSSGGsw4w_00205.wav
/data/mtseng/voice_datasets/voxceleb2/data/id06104/wav/OvdwSKAEHH0_00144.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/id06104/H005301__3331_159605_000019_000001.wav,/data/mtseng/voice_datasets/voxceleb2/data/id06104/wav/gvkdHOgBCXo_00235.wav
/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_a0203.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/SLT/H007991__2035_147961_000013_000010.wav,/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_a0085.wav
/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_a0547.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/SLT/H007982__8297_275156_000000_000001.wav,/data/mtseng/voice_datasets/ARCTIC/data/SLT/wav/arctic_b0376.wav
/data/mtseng/voice_datasets/ARCTIC/data/CLB/wav/arctic_b0171.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/CLB/H008087__1462_170138_000022_000009.wav,/data/mtseng/voice_datasets/ARCTIC/data/CLB/wav/arctic_a0065.wav
/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_b0348.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/BDL/H007712__2277_149896_000013_000000.wav,/data/mtseng/voice_datasets/ARCTIC/data/BDL/wav/arctic_a0532.wav
/data/mtseng/voice_datasets/EMIME/data/MM4/wav/MM4_ENG_0036_1.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/MM4/H013357__7729_102255_000028_000007.wav,/data/mtseng/voice_datasets/EMIME/data/MM4/wav/MM4_ENG_0081_0.wav
/data/mtseng/voice_datasets/EMIME/data/MM4/wav/MM4_ENG_0003_1.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/MM4/H013362__5536_43359_000003_000003.wav,/data/mtseng/voice_datasets/EMIME/data/MM4/wav/MM4_ENG_0078_1.wav
/data/mtseng/voice_datasets/EMIME/data/GF6/wav/GF6_ENG_0023_0.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/GF6/H011449__4970_29095_000044_000000.wav,/data/mtseng/voice_datasets/EMIME/data/GF6/wav/GF6_ENG_0121_1.wav
/data/mtseng/voice_datasets/EMIME/data/EF4/wav/EF4_ENG_0104_0.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/EF4/H008420__1255_90413_000005_000000.wav,/data/mtseng/voice_datasets/EMIME/data/EF4/wav/EF4_ENG_0024_1.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/TNI/wav/arctic_b0322.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/TNI/H014882__5849_50873_000038_000000.wav,/data/mtseng/voice_datasets/L2ARCTIC/data/TNI/wav/arctic_b0023.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/YBAA/wav/arctic_a0268.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/YBAA/H013998__6432_63723_000067_000000.wav,/data/mtseng/voice_datasets/L2ARCTIC/data/YBAA/wav/arctic_a0423.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/HQTV/wav/arctic_a0504.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/HQTV/H015740__6313_66125_000027_000000.wav,/data/mtseng/voice_datasets/L2ARCTIC/data/HQTV/wav/arctic_b0510.wav
/data/mtseng/voice_datasets/L2ARCTIC/data/YDCK/wav/arctic_a0146.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/YDCK/H015134__6070_86745_000010_000000.wav,/data/mtseng/voice_datasets/L2ARCTIC/data/YDCK/wav/arctic_a0455.wav
/data/mtseng/voice_datasets/VCTK/data/p263/wav/p263_197.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p263/H019702__3080_5040_000009_000006.wav,/data/mtseng/voice_datasets/VCTK/data/p263/wav/p263_412.wav
/data/mtseng/voice_datasets/VCTK/data/p301/wav/p301_125.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p301/H023121__7729_102255_000003_000002.wav,/data/mtseng/voice_datasets/VCTK/data/p301/wav/p301_028.wav
/data/mtseng/voice_datasets/VCTK/data/p245/wav/p245_195.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p245/H017920__3575_170457_000024_000010.wav,/data/mtseng/voice_datasets/VCTK/data/p245/wav/p245_032.wav
/data/mtseng/voice_datasets/VCTK/data/p329/wav/p329_202.wav,,/data/mtseng/code/interspeech26/evaluation/results/phase4/Melsynth_SpkAlignedGlobal-epoch=52-val_loss=0.6670/wav/p329/H024986__700_122867_000030_000001.wav,/data/mtseng/voice_datasets/VCTK/data/p329/wav/p329_135.wav
